title,soup
Mars Needs Moms,boy alien rescue sethgreen joancusack danfogler simonwells adventure animation family
Flushed Away,londonengland underworld return hughjackman katewinslet ianmckellen davidbowers adventure animation comedy
Pan,flying magic fairytale levimiller garretthedlund hughjackman joewright adventure family fantasy
Mr. Peabody & Sherman,fathersonrelationship egypt intelligence tyburrell maxcharles arielwinter robminkoff animation adventure family
Troy,brotherbrotherrelationship adultery mythology bradpitt orlandobloom ericbana wolfgangpetersen adventure drama war
Madagascar 3: Europe's Most Wanted,madagascar 3d benstiller sachabaroncohen davidschwimmer conradvernon animation family
Die Another Day,laser britishsecretservice secretserviceagent piercebrosnan halleberry rosamundpike leetamahori adventure action thriller
Ghostbusters,femalefriendship ghosthunting reboot melissamccarthy kristenwiig katemckinnon paulfeig action fantasy comedy
Armageddon,savingtheworld paris moon brucewillis billybobthornton benaffleck michaelbay action thriller sciencefiction
Men in Black II,savingtheworld secretidentity sunglasses tommyleejones willsmith riptorn barrysonnenfeld action adventure comedy
Beowulf,denmark nordicmythology lie raywinstone angelinajolie anthonyhopkins robertzemeckis adventure action animation
Kung Fu Panda 3,china martialarts kungfu jackblack bryancranston dustinhoffman jenniferyuhnelson action adventure animation
Mission: Impossible - Ghost Protocol,fight sequel mission tomcruise jeremyrenner simonpegg bradbird action thriller adventure
Rise of the Guardians,dream santaclaus nightmare chrispine alecbaldwin judelaw peterramsey fantasy animation family
Fun with Dick and Jane,basedonnovel desperation robber jimcarrey téaleoni alecbaldwin deanparisot comedy
The Last Samurai,japan warcrimes senseofguilt tomcruise kenwatanabe williamatherton edwardzwick drama action war
Exodus: Gods and Kings,moses bible ancientegypt christianbale joeledgerton johnturturro ridleyscott adventure drama action
Star Trek,spacecraft teleportation spacemission chrispine zacharyquinto leonardnimoy j.j.abrams sciencefiction action adventure
Spider-Man,lossoflover spider thanksgiving tobeymaguire willemdafoe kirstendunst samraimi fantasy action
How to Train Your Dragon 2,fathersonrelationship wifehusbandrelationship sacrifice jaybaruchel gerardbutler kristenwiig deandeblois fantasy action adventure
Gods of Egypt,egypt underworld fight brentonthwaites nikolajcoster-waldau gerardbutler alexproyas fantasy
Stealth,artificialintelligence u.s.navy aftercreditsstinger joshlucas jessicabiel jamiefoxx robcohen action
Watchmen,dccomics secretidentity massmurder malinåkerman billycrudup carlagugino zacksnyder action mystery sciencefiction
Lethal Weapon 4,lapd houseonfire revolver melgibson dannyglover joepesci richarddonner action adventure comedy
Hulk,california sanfrancisco monster ericbana jenniferconnelly samelliott anglee drama action sciencefiction
G.I. Joe: Retaliation,terror assassin secret dwaynejohnson d.j.cotrona adriannepalicki jonm.chu adventure action sciencefiction
Sahara,tyrant ironcladship matthewmcconaughey penélopecruz stevezahn breckeisner action adventure comedy
Final Fantasy: The Spirits Within,battleassignment dystopia alien donaldsutherland ming-nawen alecbaldwin hironobusakaguchi adventure action animation
Captain America: The First Avenger,newyork usa worldwarii chrisevans hugoweaving tommyleejones joejohnston action adventure sciencefiction
The World Is Not Enough,british mission oil piercebrosnan sophiemarceau robertcarlyle michaelapted adventure action thriller
Master and Commander: The Far Side of the World,naturalist frigate selfsurgery russellcrowe paulbettany jamesd'arcy peterweir adventure
The Twilight Saga: Breaking Dawn - Part 2,vampire romance villainess kristenstewart robertpattinson taylorlautner billcondon adventure fantasy drama
Happy Feet Two,penguin musical aftercreditsstinger elijahwood robinwilliams pink georgemiller animation comedy family
The Incredible Hulk,newyork riodejaneiro marvelcomic edwardnorton livtyler timroth louisleterrier sciencefiction action adventure
The BFG,londonengland england basedonnovel rubybarnhill markrylance rebeccahall stevenspielberg adventure family fantasy
The Revenant,fathersonrelationship rape basedonnovel leonardodicaprio tomhardy willpoulter alejandrogonzáleziñárritu western drama adventure
Turbo,underdog carrace dream ryanreynolds paulgiamatti michaelpeña davidsoren animation family
Rango,sheriff nevada pet johnnydepp islafisher nedbeatty goreverbinski animation comedy family
Penguins of Madagascar,penguin madagascar 3d tommcgrath chrismiller christopherknights ericdarnell family animation adventure
The Bourne Ultimatum,paris corruption madrid mattdamon juliastiles davidstrathairn paulgreengrass action drama mystery
Kung Fu Panda,china martialarts kungfu jackblack dustinhoffman angelinajolie markosborne adventure animation family
Ant-Man,marvelcomic superhero basedoncomicbook paulrudd michaeldouglas evangelinelilly peytonreed sciencefiction action adventure
The Hunger Games: Catching Fire,competition basedonnovel mentor jenniferlawrence joshhutcherson liamhemsworth francislawrence adventure action sciencefiction
Home,friendship spaceship space jimparsons rihanna stevemartin timjohnson fantasy comedy animation
War of the Worlds,posttraumaticstressdisorder newjersey airplane tomcruise dakotafanning mirandaotto stevenspielberg adventure thriller sciencefiction
Bad Boys II,miami kukluxklan cuba martinlawrence willsmith jordimollà michaelbay adventure action comedy
Puss in Boots,adventure fairy-talefigure antoniobanderas salmahayek zachgalifianakis chrismiller action adventure animation
Salt,assassination spy cia angelinajolie lievschreiber chiwetelejiofor phillipnoyce action mystery thriller
Noah,bible god noah russellcrowe jenniferconnelly emmawatson darrenaronofsky drama adventure
The Adventures of Tintin,riddle captain treasure jamiebell andyserkis danielcraig stevenspielberg adventure animation mystery
Harry Potter and the Prisoner of Azkaban,flying traitor magic danielradcliffe rupertgrint emmawatson alfonsocuarón adventure fantasy family
Australia,missionary worldwarii ranch nicolekidman hughjackman essiedavis bazluhrmann drama
After Earth,dystopia jadensmith willsmith sophieokonedo m.nightshyamalan sciencefiction action adventure
Dinosaur,cataclysm asteroid leader d.b.sweeney alfrewoodard ossiedavis ralphzondag animation family
Night at the Museum: Secret of the Tomb,nightwatchman museum naturalhistory benstiller ramimalek rebelwilson shawnlevy adventure comedy fantasy
Megamind,savingtheworld date prison willferrell bradpitt tinafey tommcgrath animation action comedy
Harry Potter and the Philosopher's Stone,witch christmasparty magic danielradcliffe rupertgrint emmawatson chriscolumbus adventure fantasy family
R.I.P.D.,gold policeoperation partner jeffbridges ryanreynolds kevinbacon robertschwentke fantasy action comedy
Pirates of the Caribbean: The Curse of the Black Pearl,exoticisland blacksmith eastindiatradingcompany johnnydepp geoffreyrush orlandobloom goreverbinski adventure fantasy action
The Hunger Games: Mockingjay - Part 1,resistance post-apocalyptic dystopia jenniferlawrence joshhutcherson liamhemsworth francislawrence sciencefiction adventure thriller
The Da Vinci Code,paris holygrail christianity tomhanks audreytautou ianmckellen ronhoward thriller mystery
Rio 2,bird sequel jungle jesseeisenberg annehathaway lesliemann carlossaldanha animation adventure comedy
X2,mutant marvelcomic superhero patrickstewart hughjackman ianmckellen bryansinger adventure action sciencefiction
Fast Five,brazil fbi freedom vindiesel paulwalker jordanabrewster justinlin action thriller crime
Sherlock Holmes: A Game of Shadows,detectiveinspector steampunk criminalmastermind robertdowneyjr. judelaw jaredharris guyritchie adventure action crime
Clash of the Titans,hades mythology greekmythology samworthington liamneeson ralphfiennes louisleterrier adventure fantasy action
Total Recall,oxygen falselyaccused resistance arnoldschwarzenegger sharonstone rachelticotin paulverhoeven action adventure sciencefiction
The 13th Warrior,witch cave arabian antoniobanderas vladimirkulich dennisstorhøi johnmctiernan adventure fantasy action
The Bourne Legacy,assassin wolf maryland jeremyrenner rachelweisz edwardnorton tonygilroy action thriller
Batman & Robin,doublelife dccomics dualidentity georgeclooney chriso'donnell arnoldschwarzenegger joelschumacher action crime fantasy
How the Grinch Stole Christmas,holiday christmasparty newlove jimcarrey taylormomsen jeffreytambor ronhoward family comedy fantasy
The Day After Tomorrow,savingtheworld library cataclysm dennisquaid jakegyllenhaal emmyrossum rolandemmerich action adventure sciencefiction
Mission: Impossible II,terror spain cia tomcruise dougrayscott thandienewton johnwoo adventure action thriller
The Perfect Storm,u.s.airforce grocery jamaican georgeclooney markwahlberg dianelane wolfgangpetersen drama
Fantastic 4: Rise of the Silver Surfer,fire helicopter surfboard ioangruffudd jessicaalba chrisevans timstory adventure fantasy action
Life of Pi,ocean shipwreck hindu surajsharma irrfankhan ayushtandon anglee adventure drama action
Ghost Rider,mephisto religionandsupernatural dyinganddeath nicolascage evamendes wesbentley markstevenjohnson thriller action fantasy
Jason Bourne,assassin amnesia flashback mattdamon aliciavikander tommyleejones paulgreengrass action thriller
Charlie's Angels: Full Throttle,robbery secretidentity secretagent camerondiaz drewbarrymore lucyliu mcg action adventure comedy
Prometheus,android dystopia alien noomirapace michaelfassbender guypearce ridleyscott sciencefiction adventure mystery
Stuart Little 2,mouse falcon bird michaelj.fox geenadavis hughlaurie robminkoff family adventure animation
Elysium,dystopia spacestation classconflict mattdamon jodiefoster sharltocopley neillblomkamp sciencefiction action drama
The Chronicles of Riddick,prison dystopia matteroflifeanddeath vindiesel thandienewton karlurban davidtwohy action sciencefiction
RoboCop,cyborg future dystopia joelkinnaman garyoldman michaelkeaton josépadilha action sciencefiction
Speed Racer,carrace lossofbrother chimp emilehirsch christinaricci matthewfox lillywachowski action family sciencefiction
How Do You Know,lovetriangle baseball athlete reesewitherspoon paulrudd owenwilson jamesl.brooks comedy drama romance
Knight and Day,spy airport gasstation tomcruise camerondiaz petersarsgaard jamesmangold action comedy
Oblivion,spacecraft dystopia space tomcruise morganfreeman olgakurylenko josephkosinski action sciencefiction adventure
Star Wars: Episode III - Revenge of the Sith,showdown deathstar vision ewanmcgregor natalieportman haydenchristensen georgelucas sciencefiction adventure action
Star Wars: Episode II - Attack of the Clones,senate investigation army ewanmcgregor natalieportman haydenchristensen georgelucas adventure action sciencefiction
"Monsters, Inc.",monster infant energysupply johngoodman billycrystal marygibbs petedocter animation comedy family
The Wolverine,japan samurai mutant hughjackman hiroyukisanada famkejanssen jamesmangold action sciencefiction adventure
Star Wars: Episode I - The Phantom Menace,prophecy senate queen liamneeson ewanmcgregor natalieportman georgelucas adventure action sciencefiction
The Croods,stoneage daughter father nicolascage emmastone ryanreynolds chrissanders adventure animation comedy
Asterix at the Olympic Games,competition greece colosseum cloviscornillac gérarddepardieu franckdubosc thomaslangmann fantasy adventure comedy
Windtalkers,japan worldwarii radiotransmission nicolascage adambeach peterstormare johnwoo drama action history
The Huntsman: Winter's War,witch magic fairytale chrishemsworth charlizetheron emilyblunt cedricnicolas-troyan action adventure drama
Teenage Mutant Ninja Turtles,martialarts terrorist hero meganfox willarnett williamfichtner jonathanliebesman sciencefiction action adventure
Gravity,spacemission loss space sandrabullock georgeclooney edharris alfonsocuarón sciencefiction thriller drama
Dante's Peak,helicopter smalltown mayor piercebrosnan lindahamilton jamierenéesmith rogerdonaldson action adventure thriller
Teenage Mutant Ninja Turtles: Out of the Shadows,brotherbrotherrelationship turtle sequel meganfox stephenamell willarnett davegreen fantasy action adventure
Fantastic Four,teleportation transformation telekinesis milesteller katemara michaelb.jordan joshtrank action adventure sciencefiction
Night at the Museum,museum skeleton nightshift benstiller jakecherry carlagugino shawnlevy action adventure comedy
San Andreas,california earthquake catastrophe dwaynejohnson alexandradaddario carlagugino bradpeyton action drama thriller
Tomorrow Never Dies,londonengland england spy piercebrosnan jonathanpryce michelleyeoh rogerspottiswoode adventure action thriller
The Patriot,rebel southernusa lossofson melgibson heathledger joelyrichardson rolandemmerich drama history war
Ocean's Twelve,sequel fabergéegg dutcheastindiancompany georgeclooney bradpitt catherinezeta-jones stevensoderbergh thriller crime
Mr. & Mrs. Smith,bomb assassin secretidentity angelinajolie bradpitt vincevaughn dougliman action comedy drama
Insurgent,basedonnovel revolution dystopia shailenewoodley theojames katewinslet robertschwentke adventure sciencefiction thriller
The Aviator,ladykiller pilot biography leonardodicaprio cateblanchett katebeckinsale martinscorsese drama
Gulliver's Travels,journalist forbiddenlove princess jackblack amandapeet emilyblunt robletterman comedy
The Green Hornet,bomb martialarts assassin sethrogen jaychou christophwaltz michelgondry action crime comedy
300: Rise of an Empire,basedongraphicnovel ancientgreece duringcreditsstinger sullivanstapleton evagreen lenaheadey noammurro action war
The Smurfs,moon magic basedoncomicbook hankazaria neilpatrickharris jaymamays rajagosnell animation family adventure
Home on the Range,farm cow animal roseannebarr judidench jennifertilly willfinn animation family
Allegiant,basedonnovel revolution dystopia shailenewoodley theojames zoëkravitz robertschwentke adventure sciencefiction
Real Steel,fathersonrelationship fight sport hughjackman dakotagoyo evangelinelilly shawnlevy action sciencefiction drama
The Smurfs 2,basedoncartoon animation smurf hankazaria neilpatrickharris brendangleeson rajagosnell fantasy family comedy
Speed 2: Cruise Control,boat cruise computer sandrabullock jasonpatric willemdafoe jandebont action adventure thriller
Ender's Game,basedonnovel intolerance chosenone asabutterfield harrisonford haileesteinfeld gavinhood sciencefiction action adventure
Live Free or Die Hard,usa washingtond.c. helicopter brucewillis justinlong timothyolyphant lenwiseman action thriller
The Lord of the Rings: The Fellowship of the Ring,elves dwarves orcs elijahwood ianmckellen cateblanchett peterjackson adventure fantasy action
Around the World in 80 Days,paris londonengland newyork jackiechan stevecoogan céciledefrance frankcoraci action adventure comedy
